Method_A,Method_B,p_value,significant
DC,BC,0.0,Yes
DC,CC,0.0,Yes
DC,CI,0.0,Yes
DC,PR,0.0,Yes
DC,KS,0.0,Yes
DC,SAASP-fixed,0.0,Yes
DC,SAASP-adaptive,0.0,Yes
BC,CC,0.0,Yes
BC,CI,0.0,Yes
BC,PR,0.0,Yes
BC,KS,0.0,Yes
BC,SAASP-fixed,0.0,Yes
BC,SAASP-adaptive,0.0,Yes
CC,CI,0.0,Yes
CC,PR,0.0,Yes
CC,KS,0.0,Yes
CC,SAASP-fixed,1e-06,Yes
CC,SAASP-adaptive,1e-06,Yes
CI,PR,0.0,Yes
CI,KS,0.0,Yes
CI,SAASP-fixed,0.0,Yes
CI,SAASP-adaptive,0.0,Yes
PR,KS,0.0,Yes
PR,SAASP-fixed,0.0,Yes
PR,SAASP-adaptive,0.0,Yes
KS,SAASP-fixed,0.0,Yes
KS,SAASP-adaptive,0.0,Yes
SAASP-fixed,SAASP-adaptive,1.0,No
